"UNIDADE","DATA","FATURAMENTO ORÇADO (R$)","FATURAMENTO REAL(R$)","FECHAMENTO ORÇADO (R$)","FECHAMENTO REAL (R$)"
"Campo Grande","1"," $ 189,756.10 "," $ 206,643.11 "," $ 64,389.87 "," $ 87,749.21 "
"Campo Grande","2"," $ 171,035.91 "," $ 173,757.21 "," $ 50,850.69 "," $ 62,081.59 "
"Campo Grande","3"," $ 210,050.07 "," $ 214,841.98 "," $ 69,747.95 "," $ 79,191.24 "
"Campo Grande","4"," $ 193,801.20 "," $ 159,846.47 "," $ 56,398.44 "," $ 35,021.11 "
"Campo Grande","5"," $ 211,305.99 "," $ 171,900.75 "," $ 74,687.79 "," $ 46,380.15 "
"Campo Grande","6"," $ 214,148.33 "," $ 192,801.38 "," $ 80,566.40 "," $ 70,015.49 "
"Campo Grande","7"," $ 182,273.54 "," $ 175,289.78 "," $ 41,178.66 "," $ 47,787.52 "
"Campo Grande","8"," $ 168,505.91 "," $ 152,833.62 "," $ 37,984.87 "," $ 34,097.92 "
"Campo Grande","9"," $ 207,520.07 "," $ 174,963.60 "," $ 67,885.91 "," $ 57,396.82 "
"Campo Grande","10"," $ 191,271.20 "," $ 150,038.52 "," $ 49,628.69 "," $ 27,357.77 "
"Campo Grande","11"," $ 208,775.99 "," $ 145,865.78 "," $ 69,317.11 "," $ 15,916.03 "
"Campo Grande ","12"," $ 211,618.33 "," $ 157,533.45 "," $ 90,352.48 "," $ 45,364.07 "
"Duque de Caxias","1"," $ 107,467.35 "," $ 107,116.39 "," $ 16,120.62 "," $ 22,228.74 "
"Duque de Caxias","2"," $ 96,894.56 "," $ 81,624.81 "," $ 14,870.39 "," $ 1,862.57 "
"Duque de Caxias","3"," $ 109,026.54 "," $ 95,804.34 "," $ 18,160.31 "," $ 9,320.46 "
"Duque de Caxias","4"," $ 119,223.62 "," $ 83,617.59 "," $ 26,852.52 "," $ (7,286.79)"
"Duque de Caxias","5"," $ 112,174.55 "," $ 78,092.71 "," $ 20,396.24 "," $ (9,222.12)"
"Duque de Caxias","6"," $ 118,394.54 "," $ 80,821.87 "," $ 28,580.99 "," $ (1,813.81)"
"Duque de Caxias","7"," $ 93,772.55 "," $ 79,267.25 "," $ 2,707.68 "," $ (13,878.90)"
"Duque de Caxias","8"," $ 91,398.93 "," $ 74,627.66 "," $ 1,825.00 "," $ (2,489.71)"
"Duque de Caxias","9"," $ 102,600.88 "," $ 75,722.12 "," $ 15,756.32 "," $ 2,116.97 "
"Duque de Caxias","10"," $ 105,951.93 "," $ 71,004.25 "," $ 14,250.41 "," $ (7,031.99)"
"Duque de Caxias","11"," $ 96,997.43 "," $ 73,109.66 "," $ 9,615.34 "," $ (7,105.30)"
"Duque de Caxias","12"," $ 93,577.18 "," $ 71,593.59 "," $ 1,600.56 "," $ (6,204.12)"
"Irajá","1"," $ 129,927.85 "," $ 140,573.08 "," $ 24,205.14 "," $ 42,327.37 "
"Irajá","2"," $ 111,858.01 "," $ 89,017.67 "," $ 20,576.77 "," $ 2,989.03 "
"Irajá","3"," $ 144,156.44 "," $ 125,310.25 "," $ 36,455.51 "," $ 30,949.54 "
"Irajá","4"," $ 140,562.37 "," $ 106,903.11 "," $ 36,250.19 "," $ 10,428.50 "
"Irajá","5"," $ 148,243.25 "," $ 105,060.24 "," $ 46,825.50 "," $ 9,522.42 "
"Irajá","6"," $ 148,765.08 "," $ 125,743.79 "," $ 48,761.71 "," $ 29,482.18 "
"Irajá","7"," $ 106,958.43 "," $ 113,795.92 "," $ 1,317.04 "," $ 1,838.55 "
"Irajá","8"," $ 112,058.42 "," $ 100,303.70 "," $ 4,787.64 "," $ 485.67 "
"Irajá","9"," $ 109,429.65 "," $ 118,748.58 "," $ 4,255.75 "," $ 20,738.48 "
"Irajá","10"," $ 117,571.94 "," $ 103,210.75 "," $ 9,337.48 "," $ (3,895.99)"
"Irajá","11"," $ 130,126.47 "," $ 100,675.06 "," $ 24,564.03 "," $ (6,916.26)"
"Irajá","12"," $ 129,523.98 "," $ 107,737.37 "," $ 13,706.73 "," $ 8,248.03 "
"Itaguaí","1"," $ 90,699.65 "," $ 97,553.93 "," $ 20,822.56 "," $ 31,430.58 "
"Itaguaí","2"," $ 84,059.96 "," $ 77,879.78 "," $ 13,643.13 "," $ 18,120.53 "
"Itaguaí","3"," $ 94,678.60 "," $ 84,574.57 "," $ 15,014.60 "," $ 17,203.15 "
"Itaguaí","4"," $ 104,554.35 "," $ 80,544.75 "," $ 22,948.36 "," $ 18,172.45 "
"Itaguaí","5"," $ 105,717.60 "," $ 75,887.81 "," $ 25,418.37 "," $ 9,142.73 "
"Itaguaí","6"," $ 115,330.79 "," $ 86,064.17 "," $ 36,191.25 "," $ 20,192.00 "
"Itaguaí","7"," $ 72,926.42 "," $ 78,825.05 "," $ 960.01 "," $ 14,692.18 "
"Itaguaí","8"," $ 86,254.10 "," $ 71,659.20 "," $ 12,530.42 "," $ 7,064.24 "
"Itaguaí","9"," $ 84,732.12 "," $ 85,839.39 "," $ 11,256.25 "," $ 23,461.77 "
"Itaguaí","10"," $ 83,450.22 "," $ 70,760.64 "," $ 9,894.31 "," $ 9,901.79 "
"Itaguaí","11"," $ 82,659.46 "," $ 61,595.75 "," $ 32,257.39 "," $ (6,554.73)"
"Itaguaí","12"," $ 81,159.46 "," $ 54,724.00 "," $ 19,779.07 "," $ (10,466.55)"
"Nova Iguaçu","1"," $ 139,526.17 "," $ 149,028.54 "," $ 3,629.28 "," $ 15,131.38 "
"Nova Iguaçu","2"," $ 132,406.83 "," $ 114,813.87 "," $ 3,042.72 "," $ (13,966.55)"
"Nova Iguaçu","3"," $ 154,621.29 "," $ 128,950.73 "," $ 9,256.53 "," $ (10,505.64)"
"Nova Iguaçu","4"," $ 155,285.27 "," $ 130,710.36 "," $ 5,388.03 "," $ (5,516.36)"
"Nova Iguaçu","5"," $ 155,029.38 "," $ 100,671.60 "," $ 9,007.41 "," $ (32,487.65)"
"Nova Iguaçu","6"," $ 154,877.53 "," $ 121,301.69 "," $ 6,752.51 "," $ (9,854.63)"
"Nova Iguaçu","7"," $ 120,335.98 "," $ 120,361.58 "," $ (16,682.31)"," $ (12,715.83)"
"Nova Iguaçu","8"," $ 106,888.44 "," $ 104,834.98 "," $ (36,748.83)"," $ (22,990.48)"
"Nova Iguaçu","9"," $ 123,075.56 "," $ 129,571.59 "," $ (11,914.80)"," $ 2,248.80 "
"Nova Iguaçu","10"," $ 97,324.99 "," $ 106,631.70 "," $ (41,417.71)"," $ (17,434.60)"
"Nova Iguaçu","11"," $ 118,171.94 "," $ 96,966.80 "," $ (15,851.05)"," $ (23,385.62)"
"Nova Iguaçu","12"," $ 121,645.10 "," $ 89,836.89 "," $ (12,856.49)"," $ (16,292.19)"
"Santa Cruz ","1"," $ 135,333.35 "," $ 158,220.19 "," $ 31,494.04 "," $ 58,845.64 "
"Santa Cruz ","2"," $ 143,734.74 "," $ 121,623.79 "," $ 40,002.54 "," $ 23,920.61 "
"Santa Cruz ","3"," $ 181,254.84 "," $ 150,120.52 "," $ 62,913.16 "," $ 38,560.25 "
"Santa Cruz ","4"," $ 190,010.40 "," $ 132,654.76 "," $ 68,228.64 "," $ 17,779.42 "
"Santa Cruz ","5"," $ 212,409.01 "," $ 128,804.20 "," $ 85,829.65 "," $ 13,964.51 "
"Santa Cruz ","6"," $ 214,769.41 "," $ 140,957.20 "," $ 89,706.52 "," $ 33,444.23 "
"Santa Cruz ","7"," $ 136,478.27 "," $ 143,716.27 "," $ 23,009.58 "," $ 24,435.14 "
"Santa Cruz ","8"," $ 148,834.48 "," $ 145,483.92 "," $ 34,101.32 "," $ 29,702.13 "
"Santa Cruz ","9"," $ 139,802.91 "," $ 150,858.72 "," $ 29,858.71 "," $ 49,449.09 "
"Santa Cruz ","10"," $ 139,591.98 "," $ 140,616.45 "," $ 20,397.40 "," $ 25,364.22 "
